tool,row_index,delta,n,strength,effective_realizations_per_orientation,total,gap_accuracy,joint_accuracy,gap_false_positive_rate,joint_false_positive_rate,gap_false_negative_rate,joint_false_negative_rate,error_gap_minus_error_joint,gap_wrong_joint_right,gap_right_joint_wrong,mcnemar_pvalue,reference_label_flips_from_clean_parent,gap_positive_rate,joint_positive_rate,gap_accuracy_ci95,joint_accuracy_ci95,error_difference_ci95
ssh_disorder_diagnostic_benchmark,51,0.2,80.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,52,0.2,80.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,53,0.2,80.0,0.2,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,54,0.2,80.0,0.4,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,55,0.05,20.0,0.0,1.0,2.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,56,0.05,20.0,0.05,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,57,0.05,20.0,0.1,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,58,0.05,20.0,0.2,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,59,0.05,20.0,0.4,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,60,0.1,20.0,0.0,1.0,2.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,61,0.1,20.0,0.05,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,62,0.1,20.0,0.1,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,63,0.1,20.0,0.2,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,64,0.1,20.0,0.4,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,65,0.2,20.0,0.0,1.0,2.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,66,0.2,20.0,0.05,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,67,0.2,20.0,0.1,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,68,0.2,20.0,0.2,128.0,256.0,,,,,,,,,,,,0.4609375,0.5,,,
ssh_disorder_diagnostic_benchmark,69,0.2,20.0,0.4,128.0,256.0,,,,,,,,,,,,0.2734375,0.484375,,,
ssh_disorder_diagnostic_benchmark,70,0.05,40.0,0.0,1.0,2.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,71,0.05,40.0,0.05,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,72,0.05,40.0,0.1,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,73,0.05,40.0,0.2,128.0,256.0,,,,,,,,,,,,0.0,0.0,,,
ssh_disorder_diagnostic_benchmark,74,0.05,40.0,0.4,128.0,256.0,,,,,,,,,,,,0.00390625,0.00390625,,,
ssh_disorder_diagnostic_benchmark,75,0.1,40.0,0.0,1.0,2.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,76,0.1,40.0,0.05,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,77,0.1,40.0,0.1,128.0,256.0,,,,,,,,,,,,0.48828125,0.48828125,,,
ssh_disorder_diagnostic_benchmark,78,0.1,40.0,0.2,128.0,256.0,,,,,,,,,,,,0.33984375,0.33984375,,,
ssh_disorder_diagnostic_benchmark,79,0.1,40.0,0.4,128.0,256.0,,,,,,,,,,,,0.21484375,0.21484375,,,
ssh_disorder_diagnostic_benchmark,80,0.2,40.0,0.0,1.0,2.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,81,0.2,40.0,0.05,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,82,0.2,40.0,0.1,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,83,0.2,40.0,0.2,128.0,256.0,,,,,,,,,,,,0.44921875,0.5,,,
ssh_disorder_diagnostic_benchmark,84,0.2,40.0,0.4,128.0,256.0,,,,,,,,,,,,0.29296875,0.46484375,,,
ssh_disorder_diagnostic_benchmark,85,0.05,80.0,0.0,1.0,2.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,86,0.05,80.0,0.05,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,87,0.05,80.0,0.1,128.0,256.0,,,,,,,,,,,,0.41796875,0.41796875,,,
ssh_disorder_diagnostic_benchmark,88,0.05,80.0,0.2,128.0,256.0,,,,,,,,,,,,0.27734375,0.27734375,,,
ssh_disorder_diagnostic_benchmark,89,0.05,80.0,0.4,128.0,256.0,,,,,,,,,,,,0.1875,0.171875,,,
ssh_disorder_diagnostic_benchmark,90,0.1,80.0,0.0,1.0,2.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,91,0.1,80.0,0.05,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,92,0.1,80.0,0.1,128.0,256.0,,,,,,,,,,,,0.48828125,0.48828125,,,
ssh_disorder_diagnostic_benchmark,93,0.1,80.0,0.2,128.0,256.0,,,,,,,,,,,,0.33984375,0.33984375,,,
ssh_disorder_diagnostic_benchmark,94,0.1,80.0,0.4,128.0,256.0,,,,,,,,,,,,0.21875,0.21875,,,
ssh_disorder_diagnostic_benchmark,95,0.2,80.0,0.0,1.0,2.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,96,0.2,80.0,0.05,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,97,0.2,80.0,0.1,128.0,256.0,,,,,,,,,,,,0.5,0.5,,,
ssh_disorder_diagnostic_benchmark,98,0.2,80.0,0.2,128.0,256.0,,,,,,,,,,,,0.46484375,0.5,,,
ssh_disorder_diagnostic_benchmark,99,0.2,80.0,0.4,128.0,256.0,,,,,,,,,,,,0.2734375,0.45703125,,,
ssh_disorder_diagnostic_benchmark,100,,,,,9234.0,0.8548841239,0.8513103747,,,,,-0.003573749188,2.0,35.0,1.024454832e-08,84.0,,,0.8475525614,0.843907653,-0.004873294347
ssh_disorder_diagnostic_benchmark,10,0.05,20.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,11,0.05,20.0,0.05,128.0,256.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,12,0.05,20.0,0.1,128.0,256.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,13,0.05,20.0,0.2,128.0,256.0,0.50390625,0.50390625,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,,,,,
ssh_disorder_diagnostic_benchmark,14,0.05,20.0,0.4,128.0,256.0,0.5,0.51171875,0.0,0.0,0.9696969697,0.946969697,0.01171875,3.0,0.0,0.25,44.0,,,,,
ssh_disorder_diagnostic_benchmark,15,0.1,20.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,16,0.1,20.0,0.05,128.0,256.0,0.50390625,0.50390625,0.0,0.0,0.9921875,0.9921875,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,17,0.1,20.0,0.1,128.0,256.0,0.5390625,0.52734375,0.0,0.0,0.921875,0.9453125,-0.01171875,0.0,3.0,0.25,0.0,,,,,
ssh_disorder_diagnostic_benchmark,18,0.1,20.0,0.2,128.0,256.0,0.625,0.59375,0.0,0.0,0.75,0.8125,-0.03125,0.0,8.0,0.0078125,0.0,,,,,
ssh_disorder_diagnostic_benchmark,19,0.1,20.0,0.4,128.0,256.0,0.70703125,0.6875,0.0,0.0,0.5952380952,0.6349206349,-0.01953125,1.0,6.0,0.125,8.0,,,,,
ssh_disorder_diagnostic_benchmark,20,0.2,20.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,21,0.2,20.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,22,0.2,20.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,23,0.2,20.0,0.2,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,24,0.2,20.0,0.4,128.0,256.0,1.0,0.98046875,0.0,0.0,0.0,0.0390625,-0.01953125,0.0,5.0,0.0625,0.0,,,,,
ssh_disorder_diagnostic_benchmark,25,0.05,40.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,26,0.05,40.0,0.05,128.0,256.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,27,0.05,40.0,0.1,128.0,256.0,0.5390625,0.5390625,0.0,0.0,0.921875,0.921875,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,28,0.05,40.0,0.2,128.0,256.0,0.65625,0.64453125,0.0,0.0,0.6875,0.7109375,-0.01171875,0.0,3.0,0.25,0.0,,,,,
ssh_disorder_diagnostic_benchmark,29,0.05,40.0,0.4,128.0,256.0,0.765625,0.76171875,0.0,0.0,0.4958677686,0.5041322314,-0.00390625,0.0,1.0,1.0,29.0,,,,,
ssh_disorder_diagnostic_benchmark,30,0.1,40.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,31,0.1,40.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,32,0.1,40.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,33,0.1,40.0,0.2,128.0,256.0,1.0,0.99609375,0.0,0.0,0.0,0.0078125,-0.00390625,0.0,1.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,34,0.1,40.0,0.4,128.0,256.0,0.9921875,0.984375,0.0,0.0,0.01550387597,0.03100775194,-0.0078125,0.0,2.0,0.5,1.0,,,,,
ssh_disorder_diagnostic_benchmark,35,0.2,40.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,36,0.2,40.0,0.05,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,37,0.2,40.0,0.1,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,38,0.2,40.0,0.2,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,39,0.2,40.0,0.4,128.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
ssh_disorder_diagnostic_benchmark,40,0.05,80.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
